Country,Cases,Deaths,Date,Year,Lon,Lat,population,Pandemic
Luxembourg,8431,124,2020-09-30,2020,6.07182201,49.76725361,579266.0,Covid19
Madagascar,16377,229,2020-09-30,2020,46.70473674,-19.37189587,24894370.0,Covid19
Malawi,5772,179,2020-09-30,2020,34.28935599,-13.21808088,17205253.0,Covid19
Malaysia,11135,134,2020-09-30,2020,109.69762279999999,3.78986846,30684652.0,Covid19
Maldives,10194,34,2020-09-30,2020,73.45713004,3.7287092000000004,475505.0,Covid19
Mali,3101,131,2020-09-30,2020,-3.54269065,17.34581581,17965448.0,Covid19
Malta,3035,34,2020-09-30,2020,14.40523316,35.92149632,436099.0,Covid19
Marshall Islands,0,0,2020-09-30,2020,170.3397612,7.00376358,57723.0,Covid19
Martinique,1298,20,2020-09-30,2020,,,376789.0,Covid19
Mauritania,7488,161,2020-09-30,2020,-10.34779815,20.25736706,4163532.0,Covid19
Mauritius,381,10,2020-09-30,2020,57.57120551,-20.27768704,1261870.0,Covid19
Mayotte,3779,42,2020-09-30,2020,,,246460.0,Covid19
Mexico,733717,76603,2020-09-30,2020,-102.5234517,23.94753724,123333379.0,Covid19
Micronesia (Fed. States of),0,0,2020-09-30,2020,,,110215.0,Covid19
Monaco,214,1,2020-09-30,2020,7.40627677,43.75274627,38070.0,Covid19
Mongolia,313,0,2020-09-30,2020,103.0529977,46.82681544,3056357.9999999995,Covid19
Montenegro,10633,164,2020-09-30,2020,19.23883939,42.78890259,627271.0,Covid19
Montserrat,13,1,2020-09-30,2020,-62.18518546,16.73941406,4978.0,Covid19
Morocco,121183,2152,2020-09-30,2020,-8.45615795,29.83762955,35126274.0,Covid19
Mozambique,8556,59,2020-09-30,2020,35.53367543,-17.27381643,27829930.0,Covid19
Myanmar,12425,284,2020-09-30,2020,96.48843321,21.18566599,53045199.0,Covid19
Namibia,11140,121,2020-09-30,2020,17.20963567,-22.13032568,2358044.0,Covid19
Nauru,0,0,2020-09-30,2020,166.9325682,-0.51912639,10474.0,Covid19
Nepal,76258,491,2020-09-30,2020,83.91582640000001,28.24891365,27263430.0,Covid19
Netherlands,117420,6384,2020-09-30,2020,5.28144793,52.100789899999995,16981285.0,Covid19
New Caledonia,27,0,2020-09-30,2020,165.68492369999998,-21.29991806,274190.0,Covid19
New Zealand,1480,25,2020-09-30,2020,171.4849235,-41.81113557,4659265.0,Covid19
Nicaragua,4146,151,2020-09-30,2020,-85.0305297,12.84709429,6303970.0,Covid19
Niger,1196,69,2020-09-30,2020,9.38545882,17.41912493,20788789.0,Covid19
Nigeria,58647,1111,2020-09-30,2020,8.08943895,9.59411452,185960243.99999997,Covid19
Niue,0,0,2020-09-30,2020,-169.8699468,-19.04945708,1611.0,Covid19
North Macedonia,17786,737,2020-09-30,2020,,,2080746.0,Covid19
Northern Mariana Islands,70,2,2020-09-30,2020,145.6196965,15.82927563,56187.0,Covid19
Norway,13788,274,2020-09-30,2020,15.34834656,68.75015572,5250950.0,Covid19
Oman,98585,935,2020-09-30,2020,56.09166155,20.60515333,4479217.000000001,Covid19
Pakistan,312263,6479,2020-09-30,2020,69.33957937,29.9497515,203631356.00000003,Covid19
Palau,0,0,2020-09-30,2020,134.40807969999997,7.28742784,17718.0,Covid19
Panama,111277,2348,2020-09-30,2020,-80.11915156,8.51750797,4037073.0,Covid19
Papua New Guinea,534,7,2020-09-30,2020,145.2074475,-6.46416646,8271766.0,Covid19
Paraguay,39432,818,2020-09-30,2020,-58.40013703,-23.22823913,6777878.000000001,Covid19
Peru,808714,32324,2020-09-30,2020,-74.38242685,-9.15280381,30926036.0,Covid19
Philippines,309303,5448,2020-09-30,2020,122.8839325,11.77536778,103663811.99999999,Covid19
Poland,89962,2483,2020-09-30,2020,19.39012835,52.12759564,37989218.0,Covid19
Portugal,74717,1963,2020-09-30,2020,-8.50104361,39.59550671,10325540.0,Covid19
Puerto Rico,48467,654,2020-09-30,2020,-66.47307604,18.22813055,3283120.9999999995,Covid19
Qatar,125533,214,2020-09-30,2020,51.18479632,25.30601188,2654379.0000000005,Covid19
Republic of Korea,23812,413,2020-09-30,2020,127.83916090000001,36.38523983,50983446.0,Covid19
Republic of Moldova,52029,1310,2020-09-30,2020,,,4066013.0,Covid19
Romania,125414,4792,2020-09-30,2020,24.97293039,45.85243127,19796280.0,Covid19
Russian Federation,1176286,20722,2020-09-30,2020,,,145275374.0,Covid19
Rwanda,4836,29,2020-09-30,2020,29.91988515,-1.99033832,11668829.0,Covid19
Saint Helena,0,0,2020-09-30,2020,-9.54779416,-12.40355951,5957.999999999999,Covid19
Saint Kitts and Nevis,19,0,2020-09-30,2020,-62.68755265,17.2645995,51629.0,Covid19
Saint Lucia,27,0,2020-09-30,2020,-60.96969923,13.89479481,180028.0,Covid19
